id,rank,modality,window_index,occlusion_drop,modality_contribution,evidence_score,regression_change,start_time,end_time,start_time_normalized,end_time_normalized,text_fragment,frame_path
04,4,vision,15,0.0017799139022827148,0.279084245379739,0.000496745928259478,0.0029072165489196777,2.098203,2.2380832,0.3,0.32,team,q3_explainability\q3_q2_best_run_final\attachment4\evidence_frames\04_window_15.jpg
04,5,vision,14,0.001282036304473877,0.279084245379739,0.0003577961345835213,0.0001303553581237793,1.9583228,2.098203,0.28,0.3,the,q3_explainability\q3_q2_best_run_final\attachment4\evidence_frames\04_window_14.jpg
04,6,vision,18,0.001010596752166748,0.279084245379739,0.00028204163196167203,0.011722207069396973,2.5178436000000004,2.6577238,0.36,0.38,"exercise,",q3_explainability\q3_q2_best_run_final\attachment4\evidence_frames\04_window_18.jpg
05,1,vision,13,0.00250244140625,0.951258621016008,0.002380468961282735,0.012762129306793213,1.5859999999999999,1.7079999999999997,0.26,0.28,name,q3_explainability\q3_q2_best_run_final\attachment4\evidence_frames\05_window_13.jpg
05,2,vision,12,0.0018347501754760742,0.951258621016008,0.001745321921832249,0.005640506744384766,1.4639999999999997,1.5859999999999999,0.24,0.26,name,q3_explainability\q3_q2_best_run_final\attachment4\evidence_frames\05_window_12.jpg
05,3,vision,1,0.0017004013061523438,0.951258621016008,0.0016175214016642973,0.022458434104919434,0.122,0.244,0.02,0.04,"Hi,",q3_explainability\q3_q2_best_run_final\attachment4\evidence_frames\05_window_01.jpg
05,4,audio,7,0.024799585342407227,0.04874137898399197,0.0012087659878201229,0.02070826292037964,0.8539999999999999,0.976,0.14,0.16,my,
05,5,audio,6,0.024009883403778076,0.04874137898399197,0.0011702748263450063,0.01904374361038208,0.7319999999999999,0.8539999999999999,0.12,0.14,my,
05,6,audio,5,0.02161991596221924,0.04874137898399197,0.0010537845175165855,0.03438460826873779,0.61,0.7319999999999999,0.1,0.12,my,
06,1,text,21,0.014249324798583984,0.9920058502055055,0.014135413561673698,0.01876150071620941,3.4881054600000003,3.6542057200000007,0.42,0.44,people,
06,2,text,24,0.0092507004737854,0.9920058502055055,0.009176748988493959,0.0032939910888671875,3.98640624,4.1525065,0.48,0.5,"dance,",
06,3,text,6,0.006143689155578613,0.9920058502055055,0.006094575584178107,0.008265212178230286,0.99660156,1.16270182,0.12,0.14,fan,
06,4,audio,12,0.006819039583206177,0.007994149794494566,5.4512423882737974e-05,0.00016355514526367188,1.99320312,2.15930338,0.24,0.26,that,
06,5,audio,11,0.006692618131637573,0.007994149794494566,5.350179186166112e-05,0.0003239661455154419,1.8271028600000003,1.99320312,0.22,0.24,in,
06,6,audio,7,0.005702078342437744,0.007994149794494566,4.558326840939061e-05,0.0016689449548721313,1.16270182,1.32880208,0.14,0.16,of,
07,1,text,21,0.01617717742919922,0.3333333333333333,0.005392392476399739,0.021575331687927246,8.96616,9.39312,0.42,0.44,the,
07,2,text,26,0.013017535209655762,0.3333333333333333,0.004339178403218587,0.013849973678588867,11.10096,11.52792,0.52,0.54,and,
07,3,text,44,0.011352121829986572,0.3333333333333333,0.003784040609995524,0.014768064022064209,18.78624,19.2132,0.88,0.9,together,
07,4,audio,22,0.007049381732940674,0.3333333333333333,0.0023497939109802246,0.005136728286743164,9.39312,9.820079999999999,0.44,0.46,future,
07,5,audio,25,0.006015360355377197,0.3333333333333333,0.0020051201184590655,0.006000399589538574,10.674,11.10096,0.5,0.52,"shows,",
07,6,audio,24,0.003938853740692139,0.3333333333333333,0.0013129512468973794,0.009871184825897217,10.24704,10.674,0.48,0.5,stamp,
08,1,text,7,0.03250521421432495,0.4109936032601946,0.013359435114689906,0.0138702392578125,0.71204042,0.81376048,0.14,0.16,brings,
08,2,text,6,0.020736873149871826,0.4109936032601946,0.008522722216215403,0.04949146509170532,0.61032036,0.71204042,0.12,0.14,brings,
08,3,text,11,0.01874065399169922,0.4109936032601946,0.007702288911501011,0.006578028202056885,1.11892066,1.22064072,0.22,0.24,us,
08,4,audio,9,0.02310103178024292,0.2562523684678623,0.005919694107738606,0.04307669401168823,0.9154805399999999,1.0172005999999998,0.18,0.2,brings,
08,5,audio,10,0.01877140998840332,0.2562523684678623,0.004810218269009639,0.06923836469650269,1.0172005999999998,1.11892066,0.2,0.22,us,
08,6,audio,8,0.014742732048034668,0.2562523684678623,0.003777860004995942,0.05100369453430176,0.81376048,0.9154805399999999,0.16,0.18,brings,
09,1,text,7,0.01013725996017456,1.0,0.01013725996017456,0.09015822410583496,0.7058788799999999,0.8067187199999999,0.14,0.16,I,
09,2,text,6,0.007306098937988281,1.0,0.007306098937988281,0.06603264808654785,0.6050390399999999,0.7058788799999999,0.12,0.14,I,
09,3,text,16,0.006022334098815918,1.0,0.006022334098815918,0.04057013988494873,1.6134374399999998,1.7142772799999997,0.32,0.34,like,
09,4,audio,17,0.0016858577728271484,0.0,0.0,1.537799835205078e-05,1.7142772799999997,1.8151171199999998,0.34,0.36,like,
09,5,audio,18,0.0012341737747192383,0.0,0.0,0.002512812614440918,1.8151171199999998,1.9159569599999997,0.36,0.38,this,
09,6,audio,7,0.0009776949882507324,0.0,0.0,0.008247017860412598,0.7058788799999999,0.8067187199999999,0.14,0.16,I,
10,1,text,30,0.021984577178955078,0.9504056718873223,0.020894266844923494,0.1337907910346985,5.963984399999999,6.162783879999999,0.6,0.62,I'm,
10,2,text,28,0.017027199268341064,0.9504056718873223,0.01618274676098701,0.09523677825927734,5.5663854399999995,5.765184919999999,0.56,0.58,so,
10,3,text,29,0.011400818824768066,0.9504056718873223,0.010835402875219327,0.041058242321014404,5.765184919999999,5.963984399999999,0.58,0.6,so,
10,4,vision,3,0.00164109468460083,0.04959432811267774,8.138898825206495e-05,0.005240082740783691,0.59639844,0.79519792,0.06,0.08,And,q3_explainability\q3_q2_best_run_final\attachment4\evidence_frames\10_window_03.jpg
10,5,vision,4,0.0015871524810791016,0.04959432811267774,7.871376091148751e-05,0.0036777853965759277,0.79519792,0.9939973999999999,0.08,0.1,you,q3_explainability\q3_q2_best_run_final\attachment4\evidence_frames\10_window_04.jpg
10,6,vision,2,0.0014560222625732422,0.04959432811267774,7.22104458294208e-05,0.004471421241760254,0.39759896,0.59639844,0.04,0.06,And,q3_explainability\q3_q2_best_run_final\attachment4\evidence_frames\10_window_02.jpg
11,1,text,3,0.030380189418792725,0.9190314559237182,0.027920349712791413,0.10972559452056885,0.34823825999999997,0.46431767999999995,0.06,0.08,I,
11,2,text,2,0.02595698833465576,0.9190314559237182,0.023855288780593654,0.09821760654449463,0.23215883999999998,0.34823825999999997,0.04,0.06,I,
11,3,text,4,0.017090976238250732,0.9190314559237182,0.015707144775397242,0.0904572606086731,0.46431767999999995,0.5803971,0.08,0.1,would,
11,4,vision,13,0.002495110034942627,0.08096854407628186,0.00020202542683942526,0.005077183246612549,1.50903246,1.62511188,0.26,0.28,ashamed,q3_explainability\q3_q2_best_run_final\attachment4\evidence_frames\11_window_13.jpg
11,5,vision,14,0.002217888832092285,0.08096854407628186,0.00017957922965755748,0.0044171810150146484,1.62511188,1.7411912999999999,0.28,0.3,ashamed,q3_explainability\q3_q2_best_run_final\attachment4\evidence_frames\11_window_14.jpg
11,6,vision,1,0.0010750293731689453,0.08096854407628186,8.704356318472741e-05,0.00037294626235961914,0.11607941999999999,0.23215883999999998,0.02,0.04,I,q3_explainability\q3_q2_best_run_final\attachment4\evidence_frames\11_window_01.jpg
12,1,text,41,0.014951646327972412,0.8509648567875919,0.012723325576221769,0.04057812690734863,10.671477540000001,10.931757479999998,0.82,0.84,"sag,",
12,2,text,23,0.011485755443572998,0.8509648567875919,0.0097739742361374,0.031146705150604248,5.98643862,6.24671856,0.46,0.48,or,
12,3,text,34,0.009984612464904785,0.8509648567875919,0.008496554316277306,0.0269506573677063,8.84951796,9.1097979,0.68,0.7,they,
12,4,vision,21,0.0032861828804016113,0.1490351432124081,0.0004897567362028179,0.004603087902069092,5.465878739999999,5.72615868,0.42,0.44,their,q3_explainability\q3_q2_best_run_final\attachment4\evidence_frames\12_window_21.jpg
12,5,vision,35,0.0030874013900756836,0.1490351432124081,0.00046013130832411734,0.004037320613861084,9.1097979,9.37007784,0.7,0.72,have,q3_explainability\q3_q2_best_run_final\attachment4\evidence_frames\12_window_35.jpg
12,6,vision,20,0.0029299259185791016,0.1490351432124081,0.00043666192887718277,0.003930032253265381,5.205598800000001,5.465878739999999,0.4,0.42,their,q3_explainability\q3_q2_best_run_final\attachment4\evidence_frames\12_window_20.jpg
13,1,text,6,0.011948645114898682,1.0,0.011948645114898682,0.017029941082000732,1.04148024,1.21506028,0.12,0.14,could,
13,2,text,30,0.011047899723052979,1.0,0.011047899723052979,0.004506349563598633,5.2074012000000005,5.38098124,0.6,0.62,a,
13,3,text,1,0.00592648983001709,1.0,0.00592648983001709,0.01093253493309021,0.17358004000000002,0.34716008000000004,0.02,0.04,For,
13,4,audio,18,0.0057558417320251465,0.0,0.0,0.01409098505973816,3.12444072,3.29802076,0.36,0.38,and,
13,5,audio,17,0.004636168479919434,0.0,0.0,0.00492154061794281,2.95086068,3.12444072,0.34,0.36,and,
13,6,audio,13,0.004059433937072754,0.0,0.0,0.00536501407623291,2.25654052,2.43012056,0.26,0.28,of,
14,1,text,1,0.013582468032836914,0.9922302900749391,0.01347693619615536,0.0220935195684433,0.20701954,0.41403908,0.02,0.04,He,
14,2,text,11,0.012906074523925781,0.9922302900749391,0.01280579806860366,0.013210594654083252,2.27721494,2.48423448,0.22,0.24,Rossen,
14,3,text,2,0.012038111686706543,0.9922302900749391,0.011944579050855348,0.003961294889450073,0.41403908,0.62105862,0.04,0.06,He,
14,4,audio,35,0.005768477916717529,0.007769709925060907,4.481940012201485e-05,0.016779199242591858,7.2456839,7.4527034400000005,0.7,0.72,Final,
14,5,audio,34,0.005413949489593506,0.007769709925060907,4.206481708307309e-05,0.017329514026641846,7.03866436,7.2456839,0.68,0.7,Final,
14,6,audio,27,0.0023249387741088867,0.007769709925060907,1.8064099868352756e-05,0.013350382447242737,5.58952758,5.7965471200000005,0.54,0.56,Executive,
