config,seed,scenario,accuracy,macro_f1,weighted_f1,mae,pearson,ccc,best_epoch,train_seconds
dm_cmrn,45,triple_30,0.6588720770288858,0.6305362090951955,0.6652891402610308,0.6307609677314758,0.6840866495397236,0.638065332413402,3,56.1
dm_cmrn,45,single_text_30,0.6629986244841816,0.6351912591328649,0.6696703802449844,0.6320805549621582,0.6828407364575464,0.6365504119654193,3,56.1
dm_cmrn,45,single_audio_30,0.6671251719394773,0.6375970209311683,0.67362961461533,0.6155607104301453,0.6959290819770092,0.657861768748513,3,56.1
dm_cmrn,45,single_vision_30,0.6643741403026134,0.6348970568686768,0.6709375475162838,0.6148220896720886,0.6974113321871026,0.659249841449577,3,56.1
cross_attn,46,clean,0.6464924346629987,0.6217886287716275,0.6549607168868327,0.6304091811180115,0.6937089727456167,0.6841203343092037,3,40.8
cross_attn,46,triple_30,0.6354883081155434,0.6142686911618648,0.6452087298679746,0.6488162279129028,0.6724249706992657,0.6575982074274066,3,40.8
cross_attn,46,single_text_30,0.6313617606602476,0.6096605402309431,0.6410361887149797,0.6505394577980042,0.6719654148001475,0.6576932791905641,3,40.8
cross_attn,46,single_audio_30,0.6492434662998624,0.6255554541995844,0.6571117865038021,0.630760133266449,0.6937423334321354,0.6840523043201403,3,40.8
cross_attn,46,single_vision_30,0.6464924346629987,0.6216257958233301,0.6547899672800163,0.6292667388916016,0.6935292627590284,0.6836121604322051,3,40.8
dm_cmrn,46,clean,0.6698762035763411,0.6423868833090736,0.6756382819616907,0.6147829294204712,0.6978557114731002,0.6776006115983393,8,71.5
dm_cmrn,46,triple_30,0.6533700137551581,0.6298681708708328,0.6621806214946273,0.6339119076728821,0.6775761911313265,0.6524139731778402,8,71.5
dm_cmrn,46,single_text_30,0.6519944979367263,0.6267170341504795,0.6605240721558235,0.6347905993461609,0.6778288269781114,0.6529633775345893,8,71.5
dm_cmrn,46,single_audio_30,0.671251719394773,0.6423193189285472,0.6767795215339875,0.6150745153427124,0.6976397188082366,0.677151964850483,8,71.5
dm_cmrn,46,single_vision_30,0.6698762035763411,0.6457478737027998,0.6771461556982387,0.6147804856300354,0.6967206649984715,0.6763788458926359,8,71.5
