config,seed,scenario,accuracy,macro_f1,weighted_f1,mae,pearson,ccc,best_epoch,train_seconds
rec0.3_span6_long,43,single_audio_30,0.6657496561210454,0.6332689832599647,0.6707609554208903,0.6224088072776794,0.7066312980317819,0.6379048300908822,4,75.3
rec0.3_span6_long,43,single_vision_30,0.6629986244841816,0.6331059887684335,0.6687730974355917,0.6204038262367249,0.7066924911320818,0.6366971158543694,4,75.3
rec0.05_span6,43,clean,0.6740027510316369,0.6383422745616362,0.6759427457593299,0.6230344772338867,0.7059055637365925,0.6431866934810029,4,77.4
rec0.05_span6,43,triple_30,0.6588720770288858,0.6159579729689628,0.6601252869539546,0.6456868648529053,0.680962160247861,0.6116757451168666,4,77.4
rec0.05_span6,43,single_text_30,0.6629986244841816,0.6202085065866386,0.6639989826245948,0.6466327905654907,0.6815258464058914,0.6119592346374588,4,77.4
rec0.05_span6,43,single_audio_30,0.6740027510316369,0.6381748146266851,0.6760335822044762,0.622846782207489,0.7059149644322812,0.6429026015170731,4,77.4
rec0.05_span6,43,single_vision_30,0.671251719394773,0.636039793969459,0.6736237030253683,0.6222034096717834,0.705606165493727,0.6420808163932401,4,77.4
rec0.1_span6,43,clean,0.6698762035763411,0.6380316719706068,0.6737989696493369,0.6234272718429565,0.704629176249625,0.6437602492565931,4,74.4
rec0.1_span6,43,triple_30,0.6492434662998624,0.6132163184295575,0.6549984061686707,0.646554708480835,0.679311080833822,0.6113232087165815,4,74.4
rec0.1_span6,43,single_text_30,0.6519944979367263,0.6155215263273602,0.6574274394632139,0.6482387185096741,0.6792078772132126,0.6108315998959807,4,74.4
rec0.1_span6,43,single_audio_30,0.6685006877579092,0.6359479552860243,0.672333763652315,0.6232156753540039,0.704678787785078,0.6434935964772455,4,74.4
rec0.1_span6,43,single_vision_30,0.6657496561210454,0.6336449152313954,0.6699976223867433,0.6217067241668701,0.7050275588448088,0.6432021313565619,4,74.4
rec0.3_span3,43,clean,0.672627235213205,0.6386803176994221,0.675771815500302,0.6182078123092651,0.706441506769933,0.652465707985392,4,83.1
rec0.3_span3,43,triple_30,0.657496561210454,0.6209787248443998,0.6622193598745889,0.6398067474365234,0.6807096076368571,0.6185996417592979,4,83.1
rec0.3_span3,43,single_text_30,0.6588720770288858,0.6206744711079971,0.6630273864741668,0.6400460600852966,0.6813879995757276,0.6206367434556291,4,83.1
rec0.3_span3,43,single_audio_30,0.6698762035763411,0.6344203422020664,0.6727759042811681,0.6178184747695923,0.7065204543410947,0.6522683459485209,4,83.1
rec0.3_span3,43,single_vision_30,0.672627235213205,0.6387731402129099,0.6759422935464755,0.6176027655601501,0.7062646531017791,0.6511067172705819,4,83.1
rec0.3_span12,43,clean,0.6519944979367263,0.6280550957567472,0.660402388218258,0.623102605342865,0.7050267001759496,0.633130779491787,4,84.1
rec0.3_span12,43,triple_30,0.640990371389271,0.6163872412196516,0.6505326212082757,0.6453967690467834,0.6787662517692831,0.6007012500925482,4,84.1
rec0.3_span12,43,single_text_30,0.6437414030261348,0.6177448676670608,0.6527182469624683,0.6460070610046387,0.6786985648596939,0.6020653435630056,4,84.1
rec0.3_span12,43,single_audio_30,0.6533700137551581,0.629842107470251,0.6618756664835801,0.6228756904602051,0.70509501468515,0.6325437227575964,4,84.1
rec0.3_span12,43,single_vision_30,0.6533700137551581,0.6307221479313223,0.6620186075475247,0.6217663288116455,0.7054468792088425,0.6326793243181684,4,84.1
rec0.3_span6_long,44,clean,0.671251719394773,0.6380689743709415,0.6729394325377017,0.6135358810424805,0.704659708751845,0.6632698878853671,10,95.3
rec0.3_span6_long,44,triple_30,0.6464924346629987,0.6223302472880192,0.6518881009161838,0.6266117095947266,0.69209190469608,0.6436078090031924,10,95.3
rec0.3_span6_long,44,single_text_30,0.6492434662998624,0.624702847905672,0.6539336299393544,0.6271349787712097,0.6920972817236662,0.6467561624410713,10,95.3
rec0.3_span6_long,44,single_audio_30,0.6643741403026134,0.6324550488086692,0.6679706319492771,0.6136115193367004,0.7045008207964765,0.6611699238222203,10,95.3
rec0.3_span6_long,44,single_vision_30,0.672627235213205,0.6390155627674633,0.6741679433277921,0.613045334815979,0.7042338847320713,0.6625093162813979,10,95.3
rec0.05_span6,44,clean,0.6519944979367263,0.6184713223664807,0.6565213013911583,0.6099417805671692,0.7117347836462401,0.650652193177665,6,95.3
rec0.05_span6,44,triple_30,0.6451169188445667,0.6054928001136702,0.6478846680863006,0.620067834854126,0.69867730284353,0.6333449145713327,6,95.3
